Site;Latitude;Longitude;Annee;Mois;Jour;Heure;pH_07;pH_04;pH_02;SST_07;SST_04;SST_02;O2_07;O2_04;O2_02;PAR;Pression;Courants;Salinité;NCP;NCC_Q08;NCC_Q09;NCC_Q10;NCC_Q11;NCC_Q12
Baileys_Bay;32,457;-64,845;2015;7;21;16:22:00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,11;NA;NA;NA;NA;NA;0;0
Baileys_Bay;32,457;-64,845;2015;7;21;16:32:00;7,9631;NA;NA;29,116;NA;NA;185,3;NA;NA;NA;3,2;0,1;36,963;NA;NA;NA;NA;0;0
Baileys_Bay;32,457;-64,845;2015;7;21;16:42:00;7,963;7,9624;NA;29,117;29,109;NA;185,5;185,5;NA;NA;3,17;0,12;36,963;0,5;NA;NA;NA;0;0
Baileys_Bay;32,457;-64,845;2015;7;21;16:52:00;7,9629;7,9621;7,9631;29,118;29,108;29,123;185,7;185,7;186,3;531,19;3,15;0,09;36,963;6,4;3,3;4,1;4,8;5,6;6,4
Baileys_Bay;32,457;-64,845;2015;7;21;17:02:00;7,9628;7,9617;7,9627;29,119;29,106;29,12;186;185,8;186,3;551,92;3,12;0,1;36,963;2,9;2,8;3,1;3,5;3,8;4,2
Baileys_Bay;32,457;-64,845;2015;7;21;17:12:00;7,9627;7,9617;7,9623;29,122;29,11;29,117;186,3;186,1;186,4;572,65;3,09;0,11;36,964;0,2;1,8;1,8;1,8;1,8;1,9
Baileys_Bay;32,457;-64,845;2015;7;21;17:22:00;7,9627;7,962;7,9622;29,125;29,119;29,119;186,7;186,5;186,5;552,67;3,05;0,09;36,965;-2,3;2,6;2,3;2,1;1,8;1,5
Baileys_Bay;32,457;-64,845;2015;7;21;17:32:00;7,9628;7,9622;7,9625;29,125;29,128;29,126;186,9;186,9;186,8;487,7;3,02;0,07;36,966;-0,8;0,5;0,4;0,4;0,3;0,2
Baileys_Bay;32,457;-64,845;2015;7;21;17:42:00;7,9632;7,9626;7,9628;29,123;29,129;29,134;187;187,2;187,2;422,73;2,99;0,07;36,967;1,4;2,6;2,8;2,9;3,1;3,3
Baileys_Bay;32,457;-64,845;2015;7;21;17:52:00;7,9636;7,9632;7,9633;29,121;29,121;29,132;187,1;187,2;187,3;361,86;2,96;0,09;36,968;1,8;2,2;2,4;2,7;2,9;3,1
Baileys_Bay;32,457;-64,845;2015;7;21;18:02:00;7,964;7,9638;7,9639;29,117;29,114;29,121;187,2;187,2;187,3;305,54;2,94;0,08;36,966;1,4;1,2;1,3;1,5;1,7;1,8
Baileys_Bay;32,457;-64,845;2015;7;21;18:12:00;7,9645;7,9644;7,9646;29,109;29,106;29,11;187,2;187,3;187,3;249,21;2,93;NA;36,961;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;21;18:22:00;7,9649;7,9651;7,9653;29,101;29,099;29,098;187,3;187,4;187,4;205,38;2,92;NA;36,955;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;21;18:32:00;7,9657;7,9658;7,9662;29,092;29,091;29,087;187,5;187,5;187,6;175,37;2,92;0,03;36,953;0,6;-1,5;-1,5;-1,4;-1,3;-1,2
Baileys_Bay;32,457;-64,845;2015;7;21;18:42:00;7,9666;7,9665;7,9671;29,082;29,083;29,076;187,6;187,6;187,7;145,35;2,92;0,09;36,955;0,8;-2,1;-2;-1,9;-1,8;-1,7
Baileys_Bay;32,457;-64,845;2015;7;21;18:52:00;7,9676;7,9674;7,9676;29,072;29,072;29,066;187,8;187,7;187,7;124,12;2,91;0,1;36,957;-1;-0,2;-0,3;-0,4;-0,6;-0,7
Baileys_Bay;32,457;-64,845;2015;7;21;19:02:00;7,9681;7,9682;7,9678;29,062;29,062;29,058;187,9;187,9;187,6;112,61;2,91;NA;36,956;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;21;19:12:00;7,968;7,9686;7,9679;29,052;29,049;29,05;187,8;187,9;187,5;101,09;2,9;0,07;36,951;-2,5;-1,3;-1,6;-1,9;-2,3;-2,6
Baileys_Bay;32,457;-64,845;2015;7;21;19:22:00;7,9679;7,9684;7,9681;29,042;29,036;29,04;187,7;187,8;187,5;87,78;2,89;0,08;36,946;-2,6;-4;-4,3;-4,6;-4,9;-5,3
Baileys_Bay;32,457;-64,845;2015;7;21;19:32:00;7,968;7,9682;7,9684;29,032;29,022;29,028;187,6;187,6;187,5;72,49;2,89;0,09;36,943;-2,2;-5;-5,3;-5,6;-5,8;-6,1
Baileys_Bay;32,457;-64,845;2015;7;21;19:42:00;7,9684;7,9682;7,9687;29,022;29,011;29,017;187,6;187,4;187,4;57,2;2,89;NA;36,942;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;21;19:52:00;7,9688;7,9683;7,9689;29,012;29,005;29,005;187,6;187,2;187,3;42,27;2,9;0,08;36,942;-3,5;-3,4;-3,8;-4,2;-4,7;-5,1
Baileys_Bay;32,457;-64,845;2015;7;21;20:02:00;7,9689;7,9684;7,9688;28,999;28,999;28,992;187,3;187;187;27,74;2,91;0,1;36,94;-3,3;-2,5;-2,9;-3,3;-3,7;-4,1
Baileys_Bay;32,457;-64,845;2015;7;21;20:12:00;7,9686;7,9682;7,9688;28,98;28,987;28,979;186,8;186,7;186,6;13,2;2,93;0,09;36,937;-0,9;-1,7;-1,8;-1,9;-2;-2,1
Baileys_Bay;32,457;-64,845;2015;7;21;20:22:00;7,9683;7,9677;7,9685;28,962;28,971;28,967;186,3;186,2;186,2;4,71;2,94;0,11;36,934;-1,7;-4,3;-4,5;-4,7;-4,9;-5,1
Baileys_Bay;32,457;-64,845;2015;7;21;20:32:00;7,9679;7,9672;7,9678;28,948;28,954;28,955;185,9;185,7;185,6;2,9;2,97;0,09;36,932;-3;-3,4;-3,8;-4,2;-4,5;-4,9
Baileys_Bay;32,457;-64,845;2015;7;21;20:42:00;7,9675;7,9668;7,9672;28,939;28,941;28,943;185,5;185,3;185;1,08;3,01;0,07;36,932;-4,3;-3,1;-3,6;-4,1;-4,6;-5,2
Baileys_Bay;32,457;-64,845;2015;7;21;20:52:00;7,967;7,9666;7,9667;28,93;28,932;28,933;185,1;185,1;184,6;0,12;3,04;0,06;36,932;-2,7;-1,6;-2;-2,3;-2,6;-3
Baileys_Bay;32,457;-64,845;2015;7;21;21:02:00;7,9664;7,9663;7,9662;28,921;28,923;28,926;184,7;184,8;184,3;0,09;3,08;0,05;36,931;-2,4;-1,7;-2;-2,3;-2,6;-2,9
Baileys_Bay;32,457;-64,845;2015;7;21;21:12:00;7,9657;7,9657;7,9658;28,913;28,914;28,92;184,2;184,4;184,1;0,07;3,1;0,06;36,93;-1,1;-2,1;-2,3;-2,4;-2,5;-2,7
Baileys_Bay;32,457;-64,845;2015;7;21;21:22:00;7,965;7,9648;7,9651;28,905;28,904;28,912;183,8;183,9;183,8;0,05;3,12;0,07;36,928;0,2;-1,3;-1,2;-1,2;-1,2;-1,2
Baileys_Bay;32,457;-64,845;2015;7;21;21:32:00;7,9644;7,9639;7,9642;28,899;28,895;28,905;183,4;183,4;183,4;0,06;3,16;0,05;36,928;-0,2;-0,1;-0,1;-0,2;-0,2;-0,2
Baileys_Bay;32,457;-64,845;2015;7;21;21:42:00;7,9637;7,9631;7,9633;28,894;28,888;28,897;183,2;183;183;0,06;3,2;0,05;36,929;-1,5;-0,1;-0,3;-0,4;-0,6;-0,8
Baileys_Bay;32,457;-64,845;2015;7;21;21:52:00;7,963;7,9624;7,9625;28,889;28,884;28,89;183;182,7;182,6;0,06;3,25;0,05;36,93;-2,2;-0,2;-0,5;-0,8;-1;-1,3
Baileys_Bay;32,457;-64,845;2015;7;21;22:02:00;7,9624;7,9617;7,9618;28,884;28,879;28,884;182,7;182,5;182,2;0,06;3,29;0,05;36,93;-2,7;-0,4;-0,8;-1,1;-1,4;-1,8
Baileys_Bay;32,457;-64,845;2015;7;21;22:12:00;7,9616;7,9612;7,9611;28,879;28,874;28,878;182,3;182,2;181,9;0,06;3,33;0,05;36,929;-2,8;-0,1;-0,4;-0,7;-1,1;-1,4
Baileys_Bay;32,457;-64,845;2015;7;21;22:22:00;7,9609;7,9607;7,9606;28,874;28,867;28,871;181,8;181,9;181,6;0,06;3,37;0,06;36,928;-1,5;0;-0,2;-0,4;-0,5;-0,7
Baileys_Bay;32,457;-64,845;2015;7;21;22:32:00;7,9602;7,9602;7,9602;28,87;28,86;28,864;181,4;181,6;181,3;0,06;3,39;0,05;36,929;-0,6;-0,2;-0,3;-0,3;-0,4;-0,5
Baileys_Bay;32,457;-64,845;2015;7;21;22:42:00;7,9596;7,9596;7,9598;28,868;28,856;28,858;181;181,2;181,1;0,06;3,41;0,07;36,931;0,1;-0,3;-0,3;-0,3;-0,3;-0,3
Baileys_Bay;32,457;-64,845;2015;7;21;22:52:00;7,9589;7,9589;7,9593;28,867;28,856;28,853;180,6;180,8;180,8;0,06;3,43;0,07;36,933;0,9;-0,5;-0,4;-0,3;-0,1;0
Baileys_Bay;32,457;-64,845;2015;7;21;23:02:00;7,9583;7,9581;7,9587;28,862;28,856;28,85;180,2;180,4;180,4;0,06;3,46;0,07;36,934;1,5;-0,4;-0,2;0;0,2;0,3
Baileys_Bay;32,457;-64,845;2015;7;21;23:12:00;7,9577;7,9574;7,9581;28,853;28,851;28,847;179,8;179,8;180;0,06;3,49;0,07;36,932;2;-0,2;0;0,3;0,5;0,8
Baileys_Bay;32,457;-64,845;2015;7;21;23:22:00;7,957;7,9566;7,9575;28,845;28,839;28,842;179,3;179,3;179,6;0,06;3,53;0,08;36,931;2,3;-0,3;0;0,3;0,6;0,9
Baileys_Bay;32,457;-64,845;2015;7;21;23:32:00;7,9568;7,9559;7,9568;28,84;28,827;28,834;179,1;178,7;179,1;0,06;3,56;0,07;36,93;0,1;-0,1;-0,1;-0,1;0;0
Baileys_Bay;32,457;-64,845;2015;7;21;23:42:00;7,9569;7,9557;7,9561;28,839;28,823;28,826;179,1;178,5;178,5;0,06;3,59;0,08;36,93;-3,5;0,6;0,1;-0,3;-0,7;-1,1
Baileys_Bay;32,457;-64,845;2015;7;21;23:52:00;7,957;7,956;7,9561;28,838;28,829;28,827;179,2;178,7;178,4;0,06;3,62;0,08;36,931;-4,9;0;-0,6;-1,2;-1,8;-2,4
Baileys_Bay;32,457;-64,845;2015;7;22;00:02:00;7,9572;7,9564;7,9567;28,843;28,835;28,837;179,1;179;178,6;0,06;3,64;0,09;36,934;-2,5;-0,5;-0,8;-1,1;-1,4;-1,7
Baileys_Bay;32,457;-64,845;2015;7;22;00:12:00;7,9576;7,9568;7,9573;28,853;28,841;28,848;179,1;179,2;178,8;0,06;3,65;0,1;36,941;-2;0,1;-0,1;-0,3;-0,6;-0,8
Baileys_Bay;32,457;-64,845;2015;7;22;00:22:00;7,958;7,9575;7,9578;28,864;28,848;28,852;179;179,3;179;0,06;3,66;0,09;36,947;0;1,5;1,5;1,5;1,4;1,4
Baileys_Bay;32,457;-64,845;2015;7;22;00:32:00;7,9583;7,9581;7,9582;28,868;28,855;28,848;178,9;179,4;179,1;0,06;3,67;0,09;36,948;0,4;1,5;1,6;1,7;1,7;1,8
Baileys_Bay;32,457;-64,845;2015;7;22;00:42:00;7,9584;7,9587;7,9586;28,864;28,857;28,845;178,9;179,5;179,1;0,06;3,68;0,11;36,943;1,1;1,7;1,9;2;2,1;2,2
Baileys_Bay;32,457;-64,845;2015;7;22;00:52:00;7,9586;7,9593;7,9594;28,86;28,854;28,843;179;179,5;179,3;0,06;3,69;0,09;36,938;2;-0,5;-0,3;-0,1;0,2;0,4
Baileys_Bay;32,457;-64,845;2015;7;22;01:02:00;7,9596;7,9598;7,9606;28,857;28,851;28,844;179,2;179,5;179,5;0,06;3,69;0,1;36,934;1,8;-1,9;-1,7;-1,5;-1,2;-1
Baileys_Bay;32,457;-64,845;2015;7;22;01:12:00;7,9615;7,961;7,9618;28,858;28,849;28,845;179,6;179,6;179,7;0,06;3,68;0,13;36,932;0,7;-0,9;-0,8;-0,7;-0,6;-0,5
Baileys_Bay;32,457;-64,845;2015;7;22;01:22:00;7,9634;7,9629;7,9629;28,858;28,847;28,845;180,1;179,8;179,7;0,06;3,67;0,11;36,929;-3;0,6;0,2;-0,1;-0,5;-0,9
Baileys_Bay;32,457;-64,845;2015;7;22;01:32:00;7,9644;7,9648;7,9639;28,857;28,844;28,843;180;180,1;179,4;0,06;3,67;0,12;36,928;-7,3;-0,3;-1,1;-2;-2,9;-3,8
Baileys_Bay;32,457;-64,845;2015;7;22;01:42:00;7,9644;7,9655;7,9648;28,855;28,842;28,842;179,4;179,9;179,2;0,06;3,66;0,1;36,929;-1;-1,4;-1,6;-1,7;-1,8;-2
Baileys_Bay;32,457;-64,845;2015;7;22;01:52:00;7,9644;7,9651;7,9651;28,853;28,841;28,845;178,7;179,3;178,9;0,06;3,65;0,11;36,93;1,7;-1,6;-1,4;-1,2;-1;-0,8
Baileys_Bay;32,457;-64,845;2015;7;22;02:02:00;7,9646;7,9646;7,9648;28,856;28,84;28,85;178,5;178,7;178,7;0,06;3,64;0,12;36,935;1,7;0,6;0,8;1;1,3;1,5
Baileys_Bay;32,457;-64,845;2015;7;22;02:12:00;7,9648;7,9642;7,9645;28,864;28,842;28,856;178,9;178,5;178,5;0,06;3,63;0,1;36,944;-2,2;-0,1;-0,4;-0,7;-0,9;-1,2
Baileys_Bay;32,457;-64,845;2015;7;22;02:22:00;7,9651;7,9639;7,9644;28,872;28,847;28,859;179,3;178,6;178,5;0,06;3,62;0,1;36,952;-6,3;-1,3;-2,1;-2,9;-3,6;-4,4
Baileys_Bay;32,457;-64,845;2015;7;22;02:32:00;7,965;7,9636;7,9648;28,87;28,852;28,858;179,3;178,7;178,7;0,06;3,59;0,1;36,957;-3,4;-2;-2,5;-2,9;-3,3;-3,7
Baileys_Bay;32,457;-64,845;2015;7;22;02:42:00;7,9645;7,9639;7,9651;28,856;28,851;28,856;179;178,8;178,9;0,06;3,56;0,1;36,957;-0,8;-6,4;-6,5;-6,6;-6,7;-6,8
Baileys_Bay;32,457;-64,845;2015;7;22;02:52:00;7,964;7,9648;7,9653;28,842;28,845;28,851;178,6;179;178,9;0,06;3,53;0,09;36,958;1,6;-5;-4,8;-4,6;-4,4;-4,2
Baileys_Bay;32,457;-64,845;2015;7;22;03:02:00;7,9638;7,9657;7,9652;28,831;28,838;28,84;178,3;179,2;178,6;0,06;3,5;0,1;36,958;2,5;-7;-6,7;-6,4;-6,1;-5,7
Baileys_Bay;32,457;-64,845;2015;7;22;03:12:00;7,9639;7,9662;7,9651;28,824;28,831;28,829;178;179,1;178,4;0,06;3,48;0,11;36,959;3,7;-8,7;-8,2;-7,7;-7,3;-6,8
Baileys_Bay;32,457;-64,845;2015;7;22;03:22:00;7,964;7,9661;7,9652;28,816;28,824;28,821;177,8;178,8;178,2;0,06;3,46;0,12;36,96;3,7;-5,2;-4,8;-4,3;-3,9;-3,4
Baileys_Bay;32,457;-64,845;2015;7;22;03:32:00;7,9642;7,9661;7,9653;28,81;28,816;28,814;177,6;178,4;178,1;0,06;3,43;0,1;36,962;3,7;-3,2;-2,8;-2,3;-1,9;-1,4
Baileys_Bay;32,457;-64,845;2015;7;22;03:42:00;7,9644;7,9658;7,9655;28,805;28,809;28,807;177,5;178,1;178;0,06;3,38;0,1;36,964;4,5;-2,8;-2,2;-1,7;-1,1;-0,6
Baileys_Bay;32,457;-64,845;2015;7;22;03:52:00;7,9646;7,9655;7,9656;28,8;28,8;28,801;177,3;177,8;177,9;0,06;3,33;0,09;36,967;3,9;-1,9;-1,5;-1;-0,5;0
Baileys_Bay;32,457;-64,845;2015;7;22;04:02:00;7,9646;7,9651;7,9657;28,796;28,792;28,797;177,1;177,5;177,7;0,06;3,29;0,1;36,969;3,2;-1,7;-1,3;-0,9;-0,6;-0,2
Baileys_Bay;32,457;-64,845;2015;7;22;04:12:00;7,9645;7,9648;7,9658;28,793;28,785;28,792;176,9;177,2;177,5;0,06;3,26;0,08;36,969;2,8;-1,8;-1,4;-1,1;-0,7;-0,4
Baileys_Bay;32,457;-64,845;2015;7;22;04:22:00;7,9644;7,9646;7,9655;28,79;28,779;28,786;176,7;176,9;177,2;0,06;3,22;0,1;36,969;5,6;-3,2;-2,5;-1,9;-1,2;-0,5
Baileys_Bay;32,457;-64,845;2015;7;22;04:32:00;7,9644;7,9644;7,9648;28,786;28,773;28,779;176,5;176,7;176,7;0,06;3,18;0,09;36,97;1,9;-0,6;-0,4;-0,1;0,1;0,3
Baileys_Bay;32,457;-64,845;2015;7;22;04:42:00;7,9643;7,964;7,9641;28,781;28,769;28,771;176,3;176,4;176,2;0,06;3,14;0,09;36,973;-1;0,9;0,8;0,7;0,6;0,4
Baileys_Bay;32,457;-64,845;2015;7;22;04:52:00;7,9643;7,9636;7,9636;28,776;28,767;28,764;176,2;176;175,8;0,06;3,09;0,09;36,975;-3,9;1,2;0,7;0,2;-0,2;-0,7
Baileys_Bay;32,457;-64,845;2015;7;22;05:02:00;7,964;7,9631;7,9634;28,768;28,765;28,757;175,9;175,6;175,3;0,05;3,06;0,07;36,975;-4,3;-0,1;-0,6;-1,1;-1,6;-2,2
Baileys_Bay;32,457;-64,845;2015;7;22;05:12:00;7,9634;7,9626;7,9632;28,756;28,757;28,75;175,2;175,2;174,9;0,05;3,03;0,08;36,973;-3,2;-1,1;-1,5;-1,9;-2,3;-2,7
Baileys_Bay;32,457;-64,845;2015;7;22;05:22:00;7,9628;7,9622;7,9629;28,745;28,745;28,741;174,6;174,7;174,5;0,05;3;0,11;36,971;-1,5;-1,6;-1,7;-1,9;-2,1;-2,3
Baileys_Bay;32,457;-64,845;2015;7;22;05:32:00;7,9624;7,9618;7,9626;28,732;28,732;28,727;174,2;174,1;174,3;0,05;2,97;0,21;36,97;1,9;0,2;0,4;0,6;0,9;1,1
Baileys_Bay;32,457;-64,845;2015;7;22;05:42:00;7,9621;7,9614;7,9623;28,716;28,716;28,714;173,8;173,7;174;0,06;2,94;0,07;36,971;2,9;0,7;1,1;1,4;1,8;2,2
Baileys_Bay;32,457;-64,845;2015;7;22;05:52:00;7,9618;7,961;7,9619;28,701;28,698;28,703;173,5;173,4;173,7;0,16;2,9;0,12;36,971;3;1,4;1,8;2,2;2,5;2,9
Baileys_Bay;32,457;-64,845;2015;7;22;06:02:00;7,9613;7,9606;7,9613;28,691;28,68;28,693;173,1;173,1;173,3;0,38;2,88;0,13;36,97;3,3;2;2,4;2,8;3,2;3,6
Baileys_Bay;32,457;-64,845;2015;7;22;06:12:00;7,9605;7,96;7,9607;28,688;28,668;28,683;172,7;172,7;172,9;0,6;2,87;0,12;36,969;1,5;0,5;0,7;0,9;1;1,2
Baileys_Bay;32,457;-64,845;2015;7;22;06:22:00;7,9597;7,9592;7,9601;28,685;28,664;28,675;172,3;172,2;172,5;5,03;2,86;0,12;36,967;2,9;0;0,3;0,7;1;1,4
Baileys_Bay;32,457;-64,845;2015;7;22;06:32:00;7,9592;7,9584;7,9593;28,678;28,659;28,67;171,9;171,7;172;14,13;2,85;NA;36,965;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;06:42:00;7,9589;7,9578;7,9586;28,667;28,652;28,665;171,6;171,4;171,5;23,23;2,84;0,09;36,961;-1,4;1,2;1,1;0,9;0,7;0,6
Baileys_Bay;32,457;-64,845;2015;7;22;06:52:00;7,9587;7,9576;7,9581;28,655;28,642;28,658;171,2;171,3;171,2;37,1;2,82;0,11;36,957;-1,4;3,9;3,7;3,5;3,4;3,2
Baileys_Bay;32,457;-64,845;2015;7;22;07:02:00;7,9583;7,9574;7,9578;28,646;28,632;28,649;171;171,1;171,1;56,24;2,82;0,13;36,953;0,6;3,6;3,7;3,8;3,8;3,9
Baileys_Bay;32,457;-64,845;2015;7;22;07:12:00;7,9578;7,9572;7,9576;28,638;28,625;28,639;170,9;171;171;75,39;2,82;0,13;36,949;0,9;1,8;1,9;2;2,1;2,2
Baileys_Bay;32,457;-64,845;2015;7;22;07:22:00;7,9572;7,9568;7,9573;28,63;28,622;28,632;170,8;170,9;170,9;99,44;2,82;NA;36,944;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;07:32:00;7,9568;7,9565;7,9569;28,624;28,618;28,628;170,7;170,8;170,8;128,92;2,82;NA;36,942;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;07:42:00;7,9564;7,9562;7,9564;28,621;28,613;28,624;170,7;170,7;170,7;158,41;2,83;NA;36,942;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;07:52:00;7,9561;7,9557;7,956;28,618;28,606;28,618;170,7;170,7;170,6;190,48;2,83;NA;36,942;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;08:02:00;7,9557;7,9552;7,9556;28,614;28,599;28,611;170,6;170,7;170,6;225,43;2,84;0,26;36,941;-0,2;1,2;1,2;1,2;1,1;1,1
Baileys_Bay;32,457;-64,845;2015;7;22;08:12:00;7,9553;7,9548;7,9552;28,607;28,594;28,603;170,6;170,7;170,7;260,37;2,86;0,14;36,94;0,3;1,9;2;2;2,1;2,1
Baileys_Bay;32,457;-64,845;2015;7;22;08:22:00;7,9548;7,9544;7,9548;28,6;28,591;28,598;170,6;170,7;170,7;299,62;2,88;0,11;36,939;0,9;0,9;1;1,1;1,2;1,3
Baileys_Bay;32,457;-64,845;2015;7;22;08:32:00;7,9545;7,954;7,9546;28,596;28,588;28,596;170,7;170,7;170,9;343,64;2,89;0,11;36,938;1,1;0,3;0,4;0,5;0,7;0,8
Baileys_Bay;32,457;-64,845;2015;7;22;08:42:00;7,9542;7,9538;7,9544;28,596;28,586;28,594;170,9;170,9;171;387,66;2,92;0,11;36,936;1,5;-0,2;0;0,1;0,3;0,5
Baileys_Bay;32,457;-64,845;2015;7;22;08:52:00;7,9539;7,9537;7,9542;28,596;28,585;28,592;171;171,2;171,2;434,53;2,94;NA;36,935;NA;NA;NA;NA;NA;NA
Baileys_Bay;32,457;-64,845;2015;7;22;09:02:00;7,9538;7,9536;7,9542;28,599;28,583;28,591;171,3;171,5;171,5;484,56;2,97;0,1;36,934;2,5;-0,7;-0,4;-0,1;0,2;0,5
Baileys_Bay;32,457;-64,845;2015;7;22;09:12:00;7,9539;7,9537;7,9541;28,606;28,587;28,591;171,6;171,8;171,7;534,59;3,01;0,09;36,934;1,6;2,1;2,3;2,5;2,7;2,9
Baileys_Bay;32,457;-64,845;2015;7;22;09:22:00;7,9541;7,954;7,9542;28,613;28,598;28,594;171,8;172,1;172;561,59;3,04;0,1;36,934;1,5;2,3;2,5;2,7;2,9;3
