Species;Experiment;Treatment;Replicate;DO_avg;pH_avg;Survivors;Survival_tot;Survival_post_hatch;Hatching_success;Time_to_first_hatch;SL_avg
Cyprinodon_variegatus;1;acidic;1;8,29;7,46;56;0,7;0,98;0,71;5;9,08
Cyprinodon_variegatus;1;acidic;2;8,38;7,45;44;0,55;0,98;0,56;6;9,15
Cyprinodon_variegatus;1;acidic;3;8,46;7,47;44;0,55;0,96;0,58;6;8,73
Cyprinodon_variegatus;1;acidic;4;8,42;7,46;55;0,69;0,98;0,7;5;9,26
Cyprinodon_variegatus;1;acidic-hypoxic;1;2,47;7,46;23;0,29;0,96;0,3;8;5,42
Cyprinodon_variegatus;1;acidic-hypoxic;2;2,34;7,46;22;0,28;1;0,28;8;4,69
Cyprinodon_variegatus;1;acidic-hypoxic;3;2,37;7,46;22;0,28;1;0,28;9;5,55
Cyprinodon_variegatus;1;acidic-hypoxic;4;2,24;7,47;30;0,38;1;0,38;8;4,72
Cyprinodon_variegatus;1;control;1;8,55;7,89;54;0,68;1;0,68;5;9,33
Cyprinodon_variegatus;1;control;2;8,51;7,88;46;0,58;0,96;0,6;5;9,11
Cyprinodon_variegatus;1;control;3;8,52;7,9;47;0,59;0,98;0,6;5;9,31
Cyprinodon_variegatus;1;control;4;8,55;7,91;47;0,59;0,96;0,61;5;9,38
Cyprinodon_variegatus;1;hypoxic;1;2,41;7,95;13;0,16;1;0,16;9;4,09
Cyprinodon_variegatus;1;hypoxic;2;2,51;7,92;32;0,4;0,86;0,46;8;5,97
Cyprinodon_variegatus;1;hypoxic;3;2,45;7,95;17;0,21;1;0,21;9;5,34
Cyprinodon_variegatus;1;hypoxic;4;2,28;7,95;18;0,23;1;0,23;8;5,49
Menidia_beryllina;1;acidic;1;8,93;7,39;29;0,36;0,55;0,66;6;NA
Menidia_beryllina;1;acidic;2;8,95;7,4;25;0,31;0,4;0,78;7;NA
Menidia_beryllina;1;acidic;3;8,97;7,39;36;0,45;0,55;0,81;6;NA
Menidia_beryllina;1;acidic;4;8,95;7,38;33;0,41;0,4;1,04;7;NA
