Individus.m;annee.m;sexe.m;age.m;poids.m;longueur_aile.m;longueur_du_tarsus.m;longueur_de_la_queue.m;projection_des_ailes.m;longueur_du_bec.m;hauteur_du_bec.m;largeur_du_bec.m
1H-00;95,5;femelle;37,5;32;96,5;32,9;74,5;29,25;12,85;5;5,05
1H-02;97;male;20;34,4;100,6666667;34,56666667;80,33333333;28,66666667;11,96666667;5,133333333;5
1H-03;94;femelle;35;29,4;95,75;32,05;75,5;29;12;5;5,15
1H-07;97;male;20;32;100;34,6;79;29;12,1;5,1;5,1
1H-08;95;femelle;20;30,2;95;33;76;27;12,8;5;5,2
1H-09;96;femelle;20;38,6;94;31,65;74;28;12;5;5,1
1H-11;92;male;35;31,8;101;32,8;77;31;12,8;5,1;4,8
1H-14;92;male;35;33,7;103;34,7;81;29;13;5,1;4,9
1H-17;94,5;femelle;40;33,4;95,5;32,025;75;29;12;5,4;5,1
1H-18;92;male;20;34,2;100;34;79;29;13,1;5,1;5
1H-2;94;male;30;35,3;100;34,2;78;30;13;5;5,2
1H-20;97;femelle;30;33,8;97;31,6;79;30;12,8;5,1;5,2
1H-21;95;male;55;33,2;100;34,1;78;29;12;5,2;5
1H-22;92;femelle;35;27,9;95;32,6;73;95;12,3;4,6;5,2
1H-24;96;male;40;33,1;101;34,05;78;30;13;5;4,9
1H-25;91;male;35;36,5;102;34,5;80;30;12,8;5,3;5,1
1H-25b;95;femelle;35;30,8;98,5;32;80;29;11,8;5;5,2
1H-29;92;male;35;35,3;106;34,3;83;33;12,5;5,1;5
1H-30;93;male;35;33,75;100;34,35;76;30;12,35;5,15;5
1H-31;95,5;femelle;32,5;31,35;97,5;32,05;74;30;12,45;5,1;5,05
1H-32;92;male;35;37,2;104;35,2;84;30,5;12,3;5,3;5
1H-34;96;femelle;80;36,4;97;32,85;74;28,5;12,9;5,3;5,2
1H-35;92;femelle;35;33,4;100;32,6;78;30;12,2;5;5,2
1H-37;96;male;35;34,6;98;34,6;75;27;12,6;5,3;5
1H-39;95;male;35;35,7;100;33,6;81;28,5;12,7;5,2;5,3
1H-40;96;femelle;35;10,6;97;33,6;72;29;12,9;5;5,2
1H-41;97;male;20;34,3;97;32,575;76;28,5;13,05;5,05;5,2
1H-42;92;male;35;36,8;102;33,2;81;29;12,2;5,2;5
1H-43;96;male;35;35,9;100;33,75;82;29;12,9;5,3;4,9
1H-44;98;femelle;35;35,7;98;32,1;75;32;12,6;5,1;4,8
1H-45;94,6;male;55;34,48;102,7;33,25;78,8;29,5;11,82;5,44;5
1H-47;98;male;30;31,05;103;32,7;81;31,5;12,5;5;4,9
1H-48;95;male;35;37,3;104;35,7;82;31;12,7;5,4;5,2
1H-5;94;femelle;35;31,63333333;99,66666667;33,26666667;77;29,5;12,1;5,166666667;5,333333333
1H-51;93;femelle;35;31,4;99;33,8;77;29;12,8;5,2;5,1
1H-54;93;femelle;25;33,9;96;32;75;27;12,3;4,7;5
1H-55;93;male;55;34,36666667;102,3333333;33,96666667;82,33333333;28,86666667;13,4;5,3;5,4
1H-59;92,5;male;40;34,3;102;33,3;80,5;29,5;13,2;5,35;5
1H-70;95;male;20;37,8;101;34,8;81;28;12,9;5,3;5,1
1H-71;97;femelle;20;36;96;32,9;71;28;11,6;5,1;5
1H-73;94;femelle;35;31,5;99;31,85;76;29;12,15;5,2;5,2
1H-74;95;femelle;20;33,1;97;32;75;29;12,6;5,1;4,9
1H-75;91;male;35;35;100;33,7;77;31;13;5,1;4,8
1H-77;92;male;35;34,8;102;33,7;81;30,5;12,8;5,3;5
1H-78;92;male;35;31,8;100;33,1;78;29;11,4;5,3;5,2
1H-79;91,5;male;35;35,45;103;34,35;82;31,5;12,4;5,25;5,15
1H-80;96;male;30;34,3;104;34;79;29;12,8;5,3;5,4
1H-81;96;male;20;33,8;100;34,75;78;30;11,9;5;5,1
1H-83;93;male;20;33,9;99;33,7;77;27;12,8;5,3;5
1H-84;93;femelle;35;32,7;99;30,4;80;30;12,1;5,2;5
1H-85;93;femelle;35;34;101;33,9;79;29;12,3;5;5,1
1H-87;95;male;35;35,1;100;33,9;77;30;12,2;5;5,1
1H-89;94,5;femelle;50;32,55;98;33,35;76,5;28;13,55;5,3;5,3
1H-9;96;male;20;35,8;100;32,75;79;29;12,2;5,1;5
1H-90;94;male;27,5;33,9;100,1;32,9;80;27,75;12,25;5,1;5,05
1H-91;96;femelle;35;31,2;98;33;74;30,5;12,1;4,9;5
1H-92;96;male;35;34;101;32,9;80;28;12,7;5,1;4,9
1H-93;92;male;35;32,2;100;33,7;77;29;13,1;5;4,7
1H-94;97,66666667;male;36,66666667;34,4;99,33333333;33,65;77,66666667;27,66666667;12,5;5,366666667;5,166666667
1H-95;93;femelle;35;28,6;94,3;31,9;74;27;11,9;5,2;5
1H-97;93;male;35;35,8;102,4;32,9;81;31;12;5,3;5
1V-00;98;male;30;33,2;102;32,4;79;29;12,9;5,1;4,9
1V-02;98;male;35;36,3;102;34,7;80;30;13,1;5,2;4,9
1V-08;98;male;30;32,1;101;33,7;79;31;11,9;5;4,8
1V-09;97;male;35;38,8;105;34,45;81;31,5;13;5,3;5,2
1V-15;98;male;30;32,5;98;32,8;76;29;12,8;5,2;4,9
1V-19;98;male;20;34,3;101;32,775;83;30;11,9;5,1;5,05
1V-22;98;male;20;33,3;102;34,025;80;30;12,5;5,05;5,3
1V-25;98;male;35;32;99;34,15;79;27;13,2;5,1;5,1
1V-31;98;male;35;34,2;103;33;82;31;12,2;5,1;4,8
1V-33;94;male;20;34,7;101;34,1;77;31;13,2;5,2;4,8
1V-48;98;male;20;33,6;96;33,4;78;27;13;5,2;5,1
1V-73;98;male;20;35,6;101;33,85;79;28;13,1;5,2;5,1
1V-81;97;male;35;35,7;100;33,9;76;29;12,5;5,3;5,1
1V-88;98;male;35;35;106;34,1;84;32;12,7;5,2;4,8
1V-91;98;femelle;35;33,7;100;33,6;79;31;12,6;5,2;5
1V-92;97;male;30;35,5;105;33,75;85;31;12,8;5,1;5
1V-95;98;male;30;34,4;99;33,25;81;26;12,4;5,1;4,9
2H-25;96,5;femelle;42,5;33,15;97;32,525;74;28,5;11,9;5,05;5,1
2H-29;95;femelle;30;33,3;94;31,9;73;27;11,9;5,1;4,9
