Annee;indice_NAO_DJFM;Nombre_de_jours_de_neige_en_Suisse_DJFM;Etendue_de_la_couverture_de_glace_en_Mer_Baltique;Volume_de_glace_de_mer_en_Arctique_Septembre;Floraison_des_cerisiers_à_Kyoto;Arrivée_de_l'Hirondelle_en_UK;Débit_de_la_rivière_Daugava_Hiver;Biomasse_phytoplanctonique_en_Mer_du_Nord;Capture_de_thon_en_Mer_du_Japon;Temperature_de_la_Mer_du_Nord;Temperature_Ocean_Arctique;Temperature_Pacifique_Nord;Temperature_Ocean_Atlantique_Nord;Temperature_Europe;Temperature_Asie;Temperature_Ocean_Atlantique_Sud;Anomalies_des_temperatures_terrestres_Global;Anomalies_des_temperatures_Ocean_Global
1946;0,27;19;219,397;NaN;97;NaN;171,7;0,301280549;NaN;NaN;0,975363636;0,049833333;0,105333333;-0,06158284;-0,25277567;-0,324583333;0,0872;-0,017
1947;-2,71;24;351,314;NaN;107;NaN;190,2;0,35121037;NaN;NaN;0,427916667;-0,036416667;0,031416667;-0,060217879;-0,731743145;-0,157916667;-0,299;-0,056
1948;1,34;16;286,547;NaN;102;NaN;335,3;0,859378229;NaN;NaN;0,307166667;-0,035416667;0,149083333;0,12127566;-0,131228349;-0,270583333;-0,3313;-0,048
1949;1,87;18;179,357;NaN;107;NaN;188,3;0,76744069;NaN;NaN;0,420083333;-0,075083333;0,127666667;0,34376272;-0,288986901;-0,08975;0,0304;-0,053
1950;1,4;16;179,357;11,55;99;91,18;327;0,437494288;NaN;0,301666667;0,55325;0,022083333;-0,005333333;0,132934885;-0,393212693;-0,426166667;-0,3719;-0,082
1951;-1,26;34;179,357;11,77;98;86,93;170,7;0,808384574;NaN;-0,219166667;0,158416667;0,15925;0,2155;0,222020141;0,147261635;-0,346833333;-0,2164;0,004
1952;0,83;43;179,357;10,12;105;88,18;187,9;1,23746287;NaN;-0,0475;0,080333333;0,113083333;0,304166667;-0,229484838;0,055556377;-0,118;0,1534;0,087
1953;0,18;49;214,451;10,03;101;88,43;273,7;0,662175162;NaN;0,180833333;0,642083333;0,051;0,284083333;0,273134225;-0,050825666;-0,121833333;0,4963;0,09
1954;0,13;30;321,641;10,09;98;94,85;200,3;1,072836998;NaN;0,096666667;0,70875;-0,030833333;0,066583333;-0,63314641;-0,046429474;-0,328;0,2506;-0,097
1955;-2,52;26;321,641;11,54;97;88,65;261,7;1,181292396;NaN;-0,215;0,274083333;-0,175583333;0,214083333;-0,310942922;0,446974644;-0,478166667;-0,0422;-0,162
1956;-1,73;21;351,314;13,07;99;90,25;206;0,59305161;NaN;-0,37;0,211083333;-0,047583333;-0,006833333;-1,217694652;-0,652468731;-0,53;-0,2578;-0,163
1957;1,52;12;187;12,33;103;75,05;371,3;1,254065234;NaN;0,19;0,50725;0,19675;0,045166667;0,187433214;-0,129524924;-0,302;0,044;0,051
1958;-1,02;30;231;11,68;99;87,25;345,7;0,780049676;NaN;-0,243333333;0,422083333;0,189916667;0,251083333;-0,060794133;0,184683962;-0,325333333;-0,0185;0,083
1959;-0,37;14;127;11,24;92;86,34;313,8;1,113556392;NaN;0,486666667;0,465583333;0,163333333;0,042333333;0,43895545;0,083974947;-0,0905;0,1174;0,041
1960;-1,54;10;223;12,08;95;89,93;349,9;0,810265371;NaN;0,088333333;0,73675;0,005583333;0,206083333;0,097018688;0,358107286;-0,198583333;-0,1107;-0,002
1961;1,8;18;77;13,47;99;81,63;338,3;0,548634016;NaN;0,596666667;0,820833333;0,022083333;0,188583333;0,687270243;0,377266266;-0,125666667;0,0953;0,053
1962;-2,38;17;184;13,83;102;95,47;342,3;1,021932622;NaN;-0,1;0,25325;0,009333333;0,16025;-0,675624696;0,47808995;-0,0935;-0,0962;0,01
1963;-3,6;66;333;15,37;101;97,98;205,7;1,154886588;NaN;-0,5875;-0,05425;0,206833333;0,13625;-0,807311883;0,28561135;-0,001666667;-0,0226;0,059
1964;-2,86;6;195;16,92;99;86,18;161;0,754765283;13,2;0,160833333;0,10125;-0,030083333;0,016;-0,207386667;-0,160783103;-0,423166667;-0,1768;-0,149
1965;-2,88;43;211;18,27;110;89,13;163,3;1,028469633;12,956;-0,268333333;-0,0885;-0,004333333;-0,017416667;-0,787052392;-0,226116459;-0,2375;-0,2521;-0,109
1966;-1,69;32;336;17,73;97;83,13;148,7;0,849328813;12,4;-0,363333333;-0,280583333;0,166833333;0,139;0,113403062;0,342869377;-0,005916667;-0,1571;-0,001
